,   Notebooks e MacBooks para venda!,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,#,Produto,Marca,Modelo,Processador,Ger.,RAM,Memória,Qtd,Preço,Placa de Vídeo,SO
,,Notebook,Dell,Vostro 5402,i7,11th,16GB,256GB SSD,8," R$  3,890.00 ",GeForce MX330 2GB,Windows 10 Pro
,,Notebook,Dell,Vostro 3400,i5,11th,8GB,256GB SSD,14," R$  2,790.00 ",,Windows 10 Pro
,,Notebook,Dell,Vostro 3480,i3,8th,4GB,256GB SSD,7," R$  2,090.00 ",,Windows 10 Pro
,,Notebook,Dell,Vostro 3401,i3,10th,4GB,128GB SSD,9," R$  2,090.00 ",,Windows 10 Pro
,,Notebook,Dell,Vostro 3480,i3,8th,4GB,128GB SSD,32," R$  1,900.00 ",,Windows 10 Pro
,,Notebook,Dell,Vostro 3401,i5,10th,8GB,256GB SSD,2," R$  2,690.00 ",,Windows 10 Pro
,,Notebook,Dell,Vostro 3401,i3,10th,4GB,128GB SSD,8," R$  1,990.00 ",,Windows 10 Pro
,,Notebook,Dell,Vostro 3480,i3,8th,4GB,256GB SSD,13," R$  1,890.00 ",,Windows 10 Pro
,,Notebook,Dell,Vostro 3480,i3,8th,4GB,128GB SSD,15," R$  1,790.00 ",,Windows 10 Pro
,,,,,,,,,,,,
,,Notebook,Dell,Latitude 5410,i7,10th,16GB,256GB SSD,3," R$  3,690.00 ",,Windows 10 Pro
,,Notebook,Dell,Latitude 5490,i7,8th,16GB,256GB SSD,5," R$  3,300.00 ",GeForce MX130,Windows 10 Pro
,,Notebook,Dell,Latitude 7480,i7,7th,16GB,256GB SSD,1," R$  3,200.00 ",,Windows 10 Pro
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Macbook,Apple,MacBook Air 13,M2,2022,8GB,256GB SSD,1," R$  8,750.00 ",,
,,Macbook,Apple,Macbook Pro 15,i7,2016,16GB,2TB SSD,2," R$  6,990.00 ",AMD Radeon Pro 460,
,,Macbook,Apple,MacBook Air 13,M1,2020,8GB,256GB SSD,1," R$  5,900.00 ",,
,,Macbook,Apple,MacBook Air 13,i5,2018,8GB,512GB SSD,1," R$  5,200.00 ",,
,,Macbook,Apple,MacBook Pro 15,i7,2014,16GB,512GB SSD,1," R$  4,190.00 ",GeForce GT 750M,
,,Macbook,Apple,Macbook Pro 15,i7,2015,16GB,256GB SSD,1," R$  3,990.00 ",,
,,Macbook,Apple,MacBook Pro 13,i5,2015,8GB,256GB SSD,3," R$  3,390.00 ",,
,,Macbook,Apple,MacBook Pro 13,i5,2014,8GB,256GB SSD,2," R$  3,290.00 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Data do Lote:,28/08/2023,,Frete:,,,Todo Brasil,,,,
,,Garantia,3 meses,,Forma de Pagamento:,,,"Pix, Crédito parcelado (3x+)",,,,
,,Pronta Entrega,,,Contato p/ compra (whatsapp),,,(11) 98711-7920,,,,
